"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0114 Upplands Väsby","inom 400 meter från hållplats","samtliga bostäder",17088,17678,17808,18060,18677,19212,19530,19686
"0115 Vallentuna","inom 400 meter från hållplats","samtliga bostäder",9076,8985,9209,9588,9568,10011,9850,10087
"0117 Österåker","inom 400 meter från hållplats","samtliga bostäder",11585,11713,11828,12130,12295,12557,12901,12953
"0120 Värmdö","inom 400 meter från hållplats","samtliga bostäder",10522,10810,11098,11789,13154,13467,13535,13781
"0123 Järfälla","inom 400 meter från hållplats","samtliga bostäder",27665,28310,29910,30474,31571,31897,32474,33915
"0125 Ekerö","inom 400 meter från hållplats","samtliga bostäder",7257,7357,7386,7540,7785,7819,7954,8050
"0126 Huddinge","inom 400 meter från hållplats","samtliga bostäder",37447,37397,38776,40115,40509,40663,41520,41692
"0127 Botkyrka","inom 400 meter från hållplats","samtliga bostäder",30239,30388,30498,31012,31499,32319,32495,32775
"0128 Salem","inom 400 meter från hållplats","samtliga bostäder",5516,5592,5621,5664,5729,5743,5889,5977
"0136 Haninge","inom 400 meter från hållplats","samtliga bostäder",28815,29289,29714,30686,31522,32486,33246,33482
"0138 Tyresö","inom 400 meter från hållplats","samtliga bostäder",15574,16244,16539,16862,17428,17921,18002,18115
"0139 Upplands-Bro","inom 400 meter från hållplats","samtliga bostäder",8375,8609,8629,8683,9222,10161,10138,10231
"0140 Nykvarn","inom 400 meter från hållplats","samtliga bostäder",2441,2421,2433,2492,2705,2817,2740,2953
"0160 Täby","inom 400 meter från hållplats","samtliga bostäder",23962,24846,25506,25584,26398,27471,27710,28510
"0162 Danderyd","inom 400 meter från hållplats","samtliga bostäder",10950,10939,11069,11104,11327,11307,11384,11492
"0163 Sollentuna","inom 400 meter från hållplats","samtliga bostäder",25366,25895,26211,26654,26868,27387,28077,29032
"0180 Stockholm","inom 400 meter från hållplats","samtliga bostäder",445108,449903,454077,461936,469797,474767,478746,480141
"0181 Södertälje","inom 400 meter från hållplats","samtliga bostäder",33930,33993,34220,34659,36678,36923,37519,37802
"0182 Nacka","inom 400 meter från hållplats","samtliga bostäder",34730,35332,35789,36257,37783,38561,39030,40684
"0183 Sundbyberg","inom 400 meter från hållplats","samtliga bostäder",22012,22512,23085,23679,24346,24996,25489,26147
"0184 Solna","inom 400 meter från hållplats","samtliga bostäder",38765,39886,40437,41061,41597,42856,43057,44182
"0186 Lidingö","inom 400 meter från hållplats","samtliga bostäder",18496,18789,18599,18904,19348,19916,19635,19805
"0187 Vaxholm","inom 400 meter från hållplats","samtliga bostäder",3308,3365,3444,3609,3898,3904,4016,3945
"0188 Norrtälje","inom 400 meter från hållplats","samtliga bostäder",18438,18632,18912,19601,21322,22020,22201,22647
"0191 Sigtuna","inom 400 meter från hållplats","samtliga bostäder",16385,16539,17045,17140,17370,17975,17928,18202
"0192 Nynäshamn","inom 400 meter från hållplats","samtliga bostäder",10132,10205,10262,10367,10679,10789,10737,11199
"0305 Håbo","inom 400 meter från hållplats","samtliga bostäder",5941,5952,6005,6057,6819,7092,6935,7383
"0319 Älvkarleby","inom 400 meter från hållplats","samtliga bostäder",2918,2827,2829,2833,3148,3299,3456,3355
"0330 Knivsta","inom 400 meter från hållplats","samtliga bostäder",3986,4096,4156,4291,4714,4730,5197,5445
"0331 Heby","inom 400 meter från hållplats","samtliga bostäder",3591,3595,3599,3624,3717,3739,3760,3867
"0360 Tierp","inom 400 meter från hållplats","samtliga bostäder",6559,6035,6046,6033,6214,6218,6516,6393
"0380 Uppsala","inom 400 meter från hållplats","samtliga bostäder",91105,92751,94385,97402,100350,101493,103893,106016
"0381 Enköping","inom 400 meter från hållplats","samtliga bostäder",13189,13428,13919,14159,14967,15602,15702,16149
"0382 Östhammar","inom 400 meter från hållplats","samtliga bostäder",5629,5645,5653,5664,5899,5913,5963,5832
"0428 Vingåker","inom 400 meter från hållplats","samtliga bostäder",2725,2736,2767,2805,3243,3204,3212,3246
"0461 Gnesta","inom 400 meter från hållplats","samtliga bostäder",2830,2889,2891,2887,3042,3092,3135,3171
"0480 Nyköping","inom 400 meter från hållplats","samtliga bostäder",21294,21777,21724,21826,22559,23165,23591,23840
"0481 Oxelösund","inom 400 meter från hållplats","samtliga bostäder",4888,4889,4891,4896,4926,4958,4968,5007
"0482 Flen","inom 400 meter från hållplats","samtliga bostäder",5062,4963,4965,5861,5859,5902,5908,5720
"0483 Katrineholm","inom 400 meter från hållplats","samtliga bostäder",12529,12594,12618,12499,13311,13380,13464,13772
"0484 Eskilstuna","inom 400 meter från hållplats","samtliga bostäder",40559,41003,41025,41225,41881,42202,42517,43190
"0486 Strängnäs","inom 400 meter från hållplats","samtliga bostäder",11095,11225,11281,11430,11725,12141,12287,12248
"0488 Trosa","inom 400 meter från hållplats","samtliga bostäder",2623,2690,2705,2537,3028,3195,3231,3283
"0509 Ödeshög","inom 400 meter från hållplats","samtliga bostäder",1083,1090,1005,1085,1227,1225,1182,1180
"0512 Ydre","inom 400 meter från hållplats","samtliga bostäder",572,564,564,565,565,565,571,575
"0513 Kinda","inom 400 meter från hållplats","samtliga bostäder",1638,1622,1583,1602,1610,1627,1634,1280
"0560 Boxholm","inom 400 meter från hållplats","samtliga bostäder",1385,1380,1388,1411,1403,1407,1406,1406
"0561 Åtvidaberg","inom 400 meter från hållplats","samtliga bostäder",2065,2035,2155,2321,3982,3900,3901,3985
"0562 Finspång","inom 400 meter från hållplats","samtliga bostäder",7283,7286,7292,7359,7739,7798,7769,7805
"0563 Valdemarsvik","inom 400 meter från hållplats","samtliga bostäder",1671,1671,1671,1678,1899,1845,1697,1697
"0580 Linköping","inom 400 meter från hållplats","samtliga bostäder",65716,66395,67507,69877,72072,73101,73358,74634
"0581 Norrköping","inom 400 meter från hållplats","samtliga bostäder",55333,56035,56680,57456,58700,59302,59209,60009
"0582 Söderköping","inom 400 meter från hållplats","samtliga bostäder",3221,3248,3308,3320,3367,3264,3339,3367
"0583 Motala","inom 400 meter från hållplats","samtliga bostäder",17019,17072,16960,17075,17324,17398,17520,17624
"0584 Vadstena","inom 400 meter från hållplats","samtliga bostäder",2213,2370,2305,2311,2310,2179,2202,2212
"0586 Mjölby","inom 400 meter från hållplats","samtliga bostäder",7997,7982,7903,8116,8056,8116,8117,8180
"0604 Aneby","inom 400 meter från hållplats","samtliga bostäder",1631,1631,1687,1718,1689,1706,1720,1719
"0617 Gnosjö","inom 400 meter från hållplats","samtliga bostäder",1486,1486,1491,1536,1657,1662,2088,1971
"0642 Mullsjö","inom 400 meter från hållplats","samtliga bostäder",2131,2135,2144,2174,2208,2220,1966,1962
"0643 Habo","inom 400 meter från hållplats","samtliga bostäder",2890,2866,2933,2979,2990,2983,2666,3056
"0662 Gislaved","inom 400 meter från hållplats","samtliga bostäder",6820,6608,6642,6550,6650,6682,6631,6676
"0665 Vaggeryd","inom 400 meter från hållplats","samtliga bostäder",2740,2733,2737,2764,2806,2986,2953,2953
"0680 Jönköping","inom 400 meter från hållplats","samtliga bostäder",55862,56169,56906,58099,58967,59952,60429,60924
"0682 Nässjö","inom 400 meter från hållplats","samtliga bostäder",11275,11769,11770,11903,12206,12286,11994,12282
"0683 Värnamo","inom 400 meter från hållplats","samtliga bostäder",8152,9379,9550,9795,11392,11474,10900,11422
"0684 Sävsjö","inom 400 meter från hållplats","samtliga bostäder",2486,2477,2471,2533,2546,2643,2363,2557
"0685 Vetlanda","inom 400 meter från hållplats","samtliga bostäder",7183,7029,8161,8462,8907,8905,7513,8907
"0686 Eksjö","inom 400 meter från hållplats","samtliga bostäder",5401,5536,5412,5509,5713,5766,5667,5748
"0687 Tranås","inom 400 meter från hållplats","samtliga bostäder",4539,4656,4539,4559,4772,4884,4311,4482
"0760 Uppvidinge","inom 400 meter från hållplats","samtliga bostäder",2573,2573,2574,2646,2714,2758,2710,2736
"0761 Lessebo","inom 400 meter från hållplats","samtliga bostäder",2154,2154,2182,2294,2355,2372,2391,2462
"0763 Tingsryd","inom 400 meter från hållplats","samtliga bostäder",3224,3261,3273,3319,3367,3365,3372,3364
"0764 Alvesta","inom 400 meter från hållplats","samtliga bostäder",4647,4510,4669,4708,5228,5256,5331,5290
"0765 Älmhult","inom 400 meter från hållplats","samtliga bostäder",3448,3663,3576,3466,4659,4765,4876,4928
"0767 Markaryd","inom 400 meter från hållplats","samtliga bostäder",2295,2421,2421,2433,2456,2451,2455,2480
"0780 Växjö","inom 400 meter från hållplats","samtliga bostäder",35189,35446,35770,36643,38771,39317,39874,40627
"0781 Ljungby","inom 400 meter från hållplats","samtliga bostäder",4708,4986,5021,5102,5216,5447,5468,5497
"0821 Högsby","inom 400 meter från hållplats","samtliga bostäder",1484,1484,1484,1600,1739,1735,1750,1747
"0834 Torsås","inom 400 meter från hållplats","samtliga bostäder",1490,1490,1491,1501,1499,1477,1479,1466
"0840 Mörbylånga","inom 400 meter från hållplats","samtliga bostäder",3778,3883,3942,3500,3699,3742,3763,3803
