"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0114 Upplands Väsby","totalt","samtliga bostäder",18082,18731,18966,19298,19676,20227,20544,20721
"0115 Vallentuna","totalt","samtliga bostäder",12404,12529,12785,13034,13316,13550,13760,14029
"0117 Österåker","totalt","samtliga bostäder",16821,17078,17469,17898,18195,18605,19111,19274
"0120 Värmdö","totalt","samtliga bostäder",16427,16746,17048,17782,18539,18921,19038,19369
"0123 Järfälla","totalt","samtliga bostäder",29560,30233,31905,32487,33508,34013,34560,36284
"0125 Ekerö","totalt","samtliga bostäder",9728,9839,9873,10067,10152,10181,10336,10505
"0126 Huddinge","totalt","samtliga bostäder",41376,41756,42790,44243,44975,45229,45716,45998
"0127 Botkyrka","totalt","samtliga bostäder",33722,33899,34196,34867,35451,36041,36287,36622
"0128 Salem","totalt","samtliga bostäder",6274,6352,6382,6434,6499,6519,6650,6741
"0136 Haninge","totalt","samtliga bostäder",33896,34456,34954,35763,36490,37597,38675,39097
"0138 Tyresö","totalt","samtliga bostäder",18185,18457,18744,19310,19679,20066,20160,20279
"0139 Upplands-Bro","totalt","samtliga bostäder",10470,10783,11024,11194,11630,11915,12758,12865
"0140 Nykvarn","totalt","samtliga bostäder",3787,3945,3995,4032,4185,4219,4233,4472
"0160 Täby","totalt","samtliga bostäder",27450,27968,28583,28884,29478,31059,31462,32022
"0162 Danderyd","totalt","samtliga bostäder",12634,12647,12763,12944,12957,12941,13024,13152
"0163 Sollentuna","totalt","samtliga bostäder",28002,28541,28860,29356,29578,30064,30816,31804
"0180 Stockholm","totalt","samtliga bostäder",462712,467100,471498,479554,487839,493409,497405,501719
"0181 Södertälje","totalt","samtliga bostäder",39872,40043,40252,40851,41664,41997,42615,43022
"0182 Nacka","totalt","samtliga bostäder",39524,40162,40727,41506,42941,43830,44627,45231
"0183 Sundbyberg","totalt","samtliga bostäder",22290,22790,23363,23957,24779,25520,25977,26635
"0184 Solna","totalt","samtliga bostäder",38830,39951,40502,41125,41664,42923,43127,44249
"0186 Lidingö","totalt","samtliga bostäder",20277,20611,20725,21026,21364,21474,21736,21804
"0187 Vaxholm","totalt","samtliga bostäder",4572,4634,4717,4955,5090,5116,5213,5208
"0188 Norrtälje","totalt","samtliga bostäder",28679,28951,29271,30315,30759,31295,31940,32394
"0191 Sigtuna","totalt","samtliga bostäder",18421,18610,19160,19271,19336,19663,19908,20224
"0192 Nynäshamn","totalt","samtliga bostäder",12429,12517,12580,12732,12947,13027,13073,13529
"0305 Håbo","totalt","samtliga bostäder",8073,8113,8201,8367,8739,8950,8965,9285
"0319 Älvkarleby","totalt","samtliga bostäder",4372,4374,4379,4416,4435,4586,4632,4649
"0330 Knivsta","totalt","samtliga bostäder",6298,6449,6556,6826,7099,7134,7633,7925
"0331 Heby","totalt","samtliga bostäder",6290,6324,6332,6404,6503,6571,6619,6764
"0360 Tierp","totalt","samtliga bostäder",9881,9961,9980,10132,9974,9997,10168,10198
"0380 Uppsala","totalt","samtliga bostäder",100935,102691,104684,107974,110989,113231,115229,117594
"0381 Enköping","totalt","samtliga bostäder",18745,19255,19565,19889,20392,21109,21491,21796
"0382 Östhammar","totalt","samtliga bostäder",10514,10583,10604,10698,10619,10688,10731,10770
"0428 Vingåker","totalt","samtliga bostäder",4280,4287,4322,4361,4374,4344,4353,4392
"0461 Gnesta","totalt","samtliga bostäder",4736,4786,4787,4817,4984,5069,5117,5139
"0480 Nyköping","totalt","samtliga bostäder",25950,26185,26242,26454,26643,27308,27829,28107
"0481 Oxelösund","totalt","samtliga bostäder",5951,5953,5955,5966,6003,6035,6048,6144
"0482 Flen","totalt","samtliga bostäder",8018,8021,8025,8040,8002,8073,8074,8063
"0483 Katrineholm","totalt","samtliga bostäder",16176,16281,16307,16440,16614,16742,16853,17157
"0484 Eskilstuna","totalt","samtliga bostäder",48216,48481,48777,49007,49722,50060,50796,51827
"0486 Strängnäs","totalt","samtliga bostäder",15586,15645,15885,16053,16295,16712,16752,17003
"0488 Trosa","totalt","samtliga bostäder",5236,5319,5366,5473,5757,5932,5987,6056
"0509 Ödeshög","totalt","samtliga bostäder",2435,2435,2436,2522,2546,2563,2564,2570
"0512 Ydre","totalt","samtliga bostäder",1721,1723,1725,1725,1748,1760,1756,1758
"0513 Kinda","totalt","samtliga bostäder",4559,4564,4572,4627,4654,4713,4755,4758
