"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"0114 Upplands Väsby","totalt","totalt 16+ år","totalt",262.6,271.7,281.0,288.3,294.9,300.1,303.7,311.5
"0115 Vallentuna","totalt","totalt 16+ år","totalt",292.9,300.1,309.9,318.9,327.6,334.4,340.0,351.2
"0117 Österåker","totalt","totalt 16+ år","totalt",284.4,291.6,299.0,308.4,316.2,323.3,331.3,340.7
"0120 Värmdö","totalt","totalt 16+ år","totalt",287.2,296.4,305.9,315.7,324.0,332.3,336.6,350.1
"0123 Järfälla","totalt","totalt 16+ år","totalt",265.2,272.6,282.7,291.0,298.9,304.9,308.0,316.6
"0125 Ekerö","totalt","totalt 16+ år","totalt",300.9,310.3,320.6,330.8,339.5,344.3,352.5,365.5
"0126 Huddinge","totalt","totalt 16+ år","totalt",261.3,270.5,281.3,289.8,297.3,304.7,307.4,318.3
"0127 Botkyrka","totalt","totalt 16+ år","totalt",223.0,231.3,240.4,248.8,256.4,260.8,264.1,272.2
"0128 Salem","totalt","totalt 16+ år","totalt",285.8,292.9,299.4,310.4,318.1,325.9,328.3,335.8
"0136 Haninge","totalt","totalt 16+ år","totalt",255.8,263.8,273.5,282.1,290.3,297.5,302.6,313.3
"0138 Tyresö","totalt","totalt 16+ år","totalt",284.6,294.7,303.5,312.3,319.8,327.0,332.2,343.4
"0139 Upplands-Bro","totalt","totalt 16+ år","totalt",263.8,271.7,279.6,289.5,297.2,301.5,305.1,312.9
"0140 Nykvarn","totalt","totalt 16+ år","totalt",298.4,310.0,320.2,332.3,340.5,350.5,353.3,367.3
"0160 Täby","totalt","totalt 16+ år","totalt",315.6,323.6,335.2,345.0,354.4,362.4,370.9,384.9
"0162 Danderyd","totalt","totalt 16+ år","totalt",321.5,332.2,343.3,354.6,362.2,375.8,383.5,400.0
"0163 Sollentuna","totalt","totalt 16+ år","totalt",292.5,302.0,311.9,321.1,327.7,334.8,341.9,353.0
"0180 Stockholm","totalt","totalt 16+ år","totalt",279.0,290.0,301.7,311.6,321.6,331.0,336.1,347.8
"0181 Södertälje","totalt","totalt 16+ år","totalt",225.8,233.0,241.9,250.3,261.5,268.0,269.7,275.1
"0182 Nacka","totalt","totalt 16+ år","totalt",301.4,312.4,322.3,332.0,342.0,352.2,358.7,373.3
"0183 Sundbyberg","totalt","totalt 16+ år","totalt",275.4,285.6,299.7,311.8,324.2,335.4,341.2,353.9
"0184 Solna","totalt","totalt 16+ år","totalt",293.0,304.1,316.1,328.4,339.8,350.9,358.0,371.5
"0186 Lidingö","totalt","totalt 16+ år","totalt",299.8,309.5,320.4,332.5,341.5,351.1,357.2,372.2
"0187 Vaxholm","totalt","totalt 16+ år","totalt",298.8,308.7,317.5,328.7,337.6,342.2,348.9,362.4
"0188 Norrtälje","totalt","totalt 16+ år","totalt",236.5,243.1,252.7,259.8,266.2,272.6,277.6,286.8
